idA,idP,first_author
a36769181100,p209,False
a56976354400,p210,True
a57209659294,p210,False
a57209655847,p210,False
a57204570329,p210,False
a55315026400,p210,False
a9277159100,p210,False
a57200077532,p211,True
a57210191104,p211,False
a57214009254,p211,False
a9277159100,p211,False
a55315026400,p211,False
a57217482839,p212,True
a14033673100,p212,False
a57209640119,p213,True
a57190402922,p213,False
a7006542177,p213,False
a57210919648,p214,True
a56248593800,p214,False
a57210912098,p215,True
a57206968876,p215,False
a56824897200,p215,False
a57210911049,p215,False
a7006542177,p215,False
a57210916608,p216,True
a7006542177,p216,False
a57204433875,p217,True
a7406665619,p217,False
a57205198823,p218,True
a35508257500,p218,False
a35508257500,p219,True
a57210927548,p220,True
a57210928665,p220,False
a6602572190,p220,False
a6601908155,p220,False
a57210914089,p221,True
a57203981655,p221,False
a57210920448,p221,False
a56248593800,p221,False
a57202433366,p222,True
a57205881788,p222,False
a56724258600,p223,True
a7801676127,p223,False
a57194391871,p224,True
a57189491950,p224,False
a57205348362,p224,False
a9277159100,p224,False
a51461952600,p224,False
a6701777223,p225,True
a8448666000,p225,False
a57218886193,p225,False
a57191873151,p226,True
a57216491948,p226,False
a57216430816,p226,False
a7003772744,p226,False
a57191587072,p227,True
a57207334294,p227,False
a12142543700,p227,False
a24295291100,p227,False
a23052031200,p227,False
a7004495126,p227,False
a12778890800,p227,False
a16481299700,p228,True
a57194703295,p228,False
a57144565100,p228,False
a56331558100,p228,False
a57189458176,p228,False
a7101640734,p228,False
a55315026400,p228,False
a24080990600,p228,False
a57200529047,p229,True
a56323465700,p229,False
a56112492400,p229,False
a57209274795,p229,False
a7102483892,p229,False
a7003772744,p229,False
a57200208018,p230,True
a36701008900,p230,False
a7201687754,p230,False
a7202401225,p230,False
a12805837100,p230,False
a56257805000,p230,False
a7005067917,p230,False
a7202417224,p230,False
a55927295500,p230,False
a6508257901,p230,False
a55931847400,p230,False
a7004092560,p230,False
a56955794500,p230,False
a55778257800,p230,False
a6701664914,p230,False
a24504209800,p230,False
a55247112800,p230,False
a57207841000,p230,False
a12780700500,p230,False
a7006236094,p230,False
a16303239800,p230,False
a55315191100,p230,False
a57194063754,p230,False
a6701501207,p230,False
a24072733200,p230,False
a55813139600,p230,False
a57192140261,p230,False
a57207843958,p230,False
a57207841443,p230,False
a57207846799,p230,False
a56473665600,p230,False
a23977815400,p230,False
a56308354900,p230,False
a36859700200,p230,False
a26221155700,p230,False
a24385613600,p230,False
a15081415200,p230,False
a7408416878,p230,False
a11042527300,p230,False
a56185388600,p230,False
a57207844500,p230,False
a57189577432,p230,False
a6602943081,p230,False
a57207842677,p230,False
a39062078800,p230,False
a7101608513,p230,False
a6602499334,p230,False
a57202152216,p230,False
a57213372150,p230,False
a8555191500,p230,False
a57195579636,p230,False
a57207842193,p230,False
a57203836326,p230,False
a55639502500,p230,False
a6602168494,p230,False
a57209284973,p231,True
a56221901100,p231,False
a6507753128,p231,False
a56266132600,p231,False
a6504734319,p231,False
a57210287166,p232,True
a57210290270,p232,False
a57210288045,p232,False
a57210292389,p232,False
a7202083837,p232,False
a35147940600,p232,False
a57204433875,p233,True
a7406665619,p233,False
a24759275600,p234,True
a57207312334,p234,False
a56387524600,p235,True
a56709476900,p235,False
a56709364700,p235,False
a16422844400,p235,False
a7102975249,p235,False
a57192981384,p236,True
a57190258899,p236,False
a24333330300,p236,False
a57189382200,p236,False
a57203250533,p236,False
a57203957449,p237,True
a14059209700,p237,False
a7406665619,p237,False
a55367023500,p237,False
a57201759181,p238,True
a16548784600,p238,False
a57188833818,p238,False
a55247719300,p239,True
a56709476900,p239,False
a56871132500,p239,False
a7402407628,p239,False
a7102975249,p239,False
a16422844400,p239,False
a57210286057,p240,True
a57210287346,p240,False
a17434035200,p240,False
a24726409500,p240,False
a35147940600,p240,False
a57210288854,p241,True
a57214559823,p241,False
a17434035200,p241,False
a24726409500,p241,False
a35147940600,p241,False
a6602749964,p242,True
a57205512220,p242,False
a7102985794,p242,False
a9739395200,p242,False
a57202736299,p242,False
a57205515588,p242,False
a57205514839,p242,False
a8705255200,p243,True
a57194392244,p244,True
a7006214218,p244,False
a57194503011,p244,False
a9845705900,p244,False
a7004929818,p244,False
a57194379165,p244,False
a57207901363,p244,False
a6603325558,p244,False
a57191586637,p245,True
a57208184650,p245,False
a57189294915,p245,False
a6602572190,p245,False
a6701755273,p245,False
a55200909800,p245,False
a7004234161,p245,False
a56330970800,p246,True
a57188833818,p246,False
a57190247942,p246,False
a57197791798,p246,False
a6701720294,p246,False
a57211516485,p246,False
a55588035200,p247,True
a57191995887,p247,False
a57203240784,p247,False
a57193574682,p247,False
a57208784903,p247,False
a56417117600,p247,False
a57203245208,p247,False
a57208771517,p247,False
a35621274900,p247,False
a55681652500,p247,False
a7003445799,p247,False
a6601908155,p247,False
a55855376400,p248,True
a56830076500,p248,False
a7202083837,p249,True
a57126390100,p249,False
a57214523209,p250,True
a57205509268,p250,False
a57208845618,p250,False
a57205502574,p250,False
a57205849200,p250,False
a57205504743,p250,False
a57207222602,p250,False
a57205501457,p250,False
a57205504946,p250,False
a57205502490,p250,False
a7004339080,p250,False
a57200375892,p251,True
a7003772744,p251,False
a24295291100,p252,True
a7401431037,p252,False
a57193720916,p252,False
a57118455800,p252,False
a6701421652,p252,False
a57205270902,p252,False
a57209887692,p253,True
a17434035200,p253,False
a24726409500,p253,False
a35147940600,p253,False
a57206968876,p254,True
a36668159600,p254,False
a57205763350,p254,False
a57190404271,p254,False
a7006542177,p254,False
a7004435321,p255,True
a56781290700,p255,False
a36055605700,p255,False
a16041305200,p255,False
a57215322624,p256,True
a57202818911,p256,False
a7102523474,p256,False
a57203310052,p257,True
a57204552603,p257,False
a57204551844,p257,False
a57204547933,p257,False
a24295291100,p257,False
a57195217444,p257,False
a7003302831,p258,True
a57193706327,p258,False
a7202282831,p258,False
a16066928300,p258,False
a57200690449,p259,True
a35597296700,p259,False
a57208717150,p260,True
a55457444300,p260,False
a57204091960,p261,True
a7401431037,p261,False
a56353116200,p262,True
a57197765353,p262,False
a7004300863,p262,False
a6603717022,p262,False
a56584019300,p263,True
a55542008600,p263,False
a56714263700,p263,False
a8608718200,p263,False
a57210923446,p264,True
a55652695700,p264,False
a57205329719,p264,False
a57199801999,p264,False
a57193242858,p264,False
a7005512824,p264,False
a57205263313,p265,True
a56036628100,p265,False
a36953700600,p265,False
a16033650300,p265,False
a23970286000,p266,True
a57194276793,p266,False
a57208827685,p266,False
a7401703652,p266,False
a57202228997,p266,False
a7006111578,p266,False
a54415129200,p266,False
a7005373645,p266,False
a57189235340,p267,True
a7003292762,p267,False
a57202047395,p268,True
a57193927413,p268,False
a54978625300,p268,False
a26029526200,p268,False
a7006799143,p268,False
a57203922639,p269,True
a57196487336,p269,False
a16199522200,p269,False
a57188681207,p270,True
a56985459400,p270,False
a57195343816,p270,False
a57188173800,p270,False
a57201722090,p270,False
a36349287300,p270,False
a56237421600,p271,True
a6701863708,p271,False
a55457444300,p271,False
a8608718200,p271,False
a55912340300,p272,True
a57201864184,p272,False
a34874297000,p272,False
